以前我认为那句话很重要，因为我觉得有些话说出来就是一生一世，现在想一想，说不说也没有什么分别，有些事会变的。我一直以为是我自己赢了，直到有一天看着镜子，才知道自己输了，在我最好的时候，我最喜欢的人都不在我身边。如果能重新开始那该多好。,《东邪西毒》
凡事都有可能，永远别说永远。,《放牛班的春天》
见过磕长头的人吗？他们的脸和手都很脏，可是心灵却很干净。,《可可西里 》
"我算过命!算命的说我是一将功成万骨枯,可是我不同意,我认为出来混的,是生是死应该由自己决定!",《无间道 》
什么是权利?当一个人犯了罪，法官依法判他死刑。这不叫权利，这叫正义。而当一个人同样犯了罪，皇帝可以判他死刑，也可以不判他死刑，于是赦免了他，这就叫权利!,《辛德勒名单》
一个人杀了一个人，他是杀人犯。是坏人，当一个人杀了成千上万人后，他是英雄，是大好人。,《和平饭店》
做人要是没有理想，那和咸鱼有什么区别呀?,《少林足球》
你真正是谁并不重要，重要的是你的所做所为。,《开战时刻》
爱对了是爱情，爱错了是青春。,《左耳》
爱情，这些才是我们活着的意义。,《死亡诗社》
爱情，这些才是我们活着的意义。,《死亡诗社》 ???
爱情就是一条河，谁不是摸着石头过河。,《致我们终将逝去的青春》
爱情如果需要解释的话，就不会因为有人因为它痛苦了。,《比悲伤更悲伤的故事》
爱情这东西，时间很关键。认识得太早或太晚，都不行。,《2046》
爱是唯一可以超越时间与空间的事物。,《星际穿越》
抱最好的希望，做最坏的打算。,《肖申克的救赎》
被你喜欢过，很难觉得别人有那么喜欢我。,
别跟我说你是无辜的，这让我愤怒，因为它侮辱了我的智慧。,《教父》
别人的看法都是狗屁，你是谁只有你自己说的才算。这是爹教我的道理。,
别人说你不行，是因为他自己做不到。你要尽全力保护你的梦想，那些嘲笑你的人，他们必定会失败，他们想把你变成和他们一样的人。如果你有梦想的话，就要努力去实现，就这样。,《当幸福来敲门》
别以为长得帅我就不打你！,《功夫》
别因一切结束而流泪，要庆幸曾发生过的一切。,《神秘巨星》
不不，她没有死，她只是离开了。,《曾经》
不疯魔，不成活。,李碧华 《霸王别姬》
不管前方的路有多苦，只要走的方向正确，不管多么崎岖不平，都比站在原地更接近幸福。, 宫崎骏 《千与千寻》
不过也许有一天，他会变成你的朋友或知己。,《重庆森林》
不是风动，不是幡动，仁者心动。,
不相信有完不成的任务，不相信有克服不了的困难，不相信有战胜不了的敌人。,《长津湖》
不要害怕孤独。因为这个世界上，肯定有一个人，正努力的走向你。, 宫崎骏 《龙猫》
不要恨你的对手，那样会影响你的判断力，永远不要让别人知道你在想什么。,《教父》
不要让别人告诉你，你不能做什么。那些做不到的人总要告诉你，你也不行。只要有梦想，就要去追求。,《当幸福来敲门》
不要让别人告诉你，你不能做什么。只要有梦想，就要去追求。那些做不到的人总要告诉你，你也不行。想要什么就得去努力，去追求。,《当幸福来敲门》
不要温顺的走进那良夜。,《星际穿越》
不要相信漂亮女人，尤其是不穿衣服的女人。,《偷天陷阱》
不知道从什么时候开始，在什么东西上面都有个日期，秋刀鱼会过期，肉罐头会过期，连保鲜纸都会过期，我开始怀疑，在这个世界上，还有什么东西是不会过期的？,王家卫 《重庆森林》
我爱你。如果非要在这份爱上加上一个期限，我希望是……一万年,周星驰 《大话西游》
我爱你。如果非要在这份爱上加上一个期限，我希望是……一万年。,《大话西游》
曾经在岁月里互撕，现在在记忆里互思,《老师·好》
尘归尘，土归土，最终被吸尽最后一滴血隐入尘烟，寻着那朵花去寻找属于自己的救赎。,《隐入尘烟》
成长最残酷的部分就是，女孩永远比同年龄的男孩成熟，女孩的成熟，没有一个男孩招架的住。, 九把刀 《那些年，我们一起追的女孩》
惩罚恶人是上帝的事，我们应该学会饶恕。,艾米莉·勃朗特 《呼啸山庄》
从历史上看，人类的命运取决于人类的选择。,《流浪地球2》
大鸟不能成为大鸟才是最大的悲剧。,《爆裂鼓手》
但后来就再也碰不上了，人生就是这样。,《一代宗师》
当环境最昏暗时，火焰燃烧的光芒才最夺目。,《哈尔的移动城堡》
